matrix,score,exists,parses,missing_sections
THRONE_KERNEL_ANATOMY_MATRIX_V0_1.json,100.0,True,True,
THRONE_CORE_V1_DEFINITION_MATRIX_V0_1.json,100.0,True,True,
THRONE_KERNEL_BOUNDARY_MATRIX_V0_1.json,100.0,True,True,
THRONE_REQUEST_PACKET_MATRIX_V0_1.json,100.0,True,True,
THRONE_OBJECT_REGISTRY_MATRIX_V0_1.json,100.0,True,True,
THRONE_ORGAN_SERVICE_STACK_MATRIX_V0_1.json,100.0,True,True,
THRONE_SERVITOR_EXECUTION_BOUNDARY_MATRIX_V0_1.json,100.0,True,True,
THRONE_EVIDENCE_CHAIN_MATRIX_V0_1.json,100.0,True,True,
THRONE_TRUST_BOUNDARY_MATRIX_V0_1.json,100.0,True,True,
THRONE_INTEGRATION_KERNEL_MATRIX_V0_1.json,100.0,True,True,
THRONE_HUMAN_READABILITY_MATRIX_V0_1.json,100.0,True,True,
THRONE_CORE_V1_READINESS_SCORING_MATRIX_V0_1.json,100.0,True,True,
